resistencia,tiempo,VCH2
3000,-0.00056,-1.1
3000,-0.000556,-1.1
3000,-0.000552,-1.12
3000,-0.000548,-1.1
3000,-0.000544,-1.1
3000,-0.0005399999999999999,-1.1
3000,-0.0005359999999999999,-1.12
3000,-0.0005319999999999999,-1.1
3000,-0.0005279999999999999,-1.1
3000,-0.0005239999999999999,-1.1
3000,-0.00052,-1.1
3000,-0.000516,-1.1
3000,-0.000512,-1.1
3000,-0.000508,-1.1
3000,-0.000504,-1.1
3000,-0.0005,-1.1
3000,-0.0004959999999999999,-1.1
3000,-0.0004919999999999999,-1.1
3000,-0.00048799999999999994,-1.12
3000,-0.00048399999999999995,-1.1
3000,-0.00047999999999999996,-1.1
3000,-0.00047599999999999997,-1.12
3000,-0.000472,-1.1
3000,-0.00046799999999999994,-1.1
3000,-0.00046399999999999995,-1.1
3000,-0.00045999999999999996,-1.1
3000,-0.00045599999999999997,-1.1
3000,-0.00045199999999999993,-1.12
3000,-0.00044799999999999994,-1.12
3000,-0.00044399999999999995,-1.1
3000,-0.00043999999999999996,-1.12
3000,-0.00043599999999999997,-1.12
3000,-0.000432,-1.1
3000,-0.000428,-1.12
3000,-0.00042399999999999995,-1.1
3000,-0.00041999999999999996,-1.1
3000,-0.0004159999999999999,-1.1
3000,-0.00041199999999999993,-1.1
3000,-0.00040799999999999994,-1.1
3000,-0.00040399999999999995,-1.12
3000,-0.00039999999999999996,-1.1
3000,-0.000396,-1.1
3000,-0.000392,-1.1
3000,-0.000388,-1.1
3000,-0.00038399999999999996,-1.12
3000,-0.00037999999999999997,-1.12
3000,-0.0003759999999999999,-1.1
3000,-0.00037199999999999993,-1.1
3000,-0.00036799999999999995,-1.1
3000,-0.00036399999999999996,-1.12
3000,-0.00035999999999999997,-1.1
3000,-0.000356,-1.1
3000,-0.000352,-1.1
3000,-0.00034799999999999995,-1.12
3000,-0.00034399999999999996,-1.1
3000,-0.00033999999999999997,-1.1
3000,-0.00033599999999999993,-1.1
3000,-0.00033199999999999994,-1.12
3000,-0.00032799999999999995,-1.1
3000,-0.00032399999999999996,-1.12
3000,-0.00031999999999999997,-1.1
3000,-0.000316,-1.1
3000,-0.00031199999999999994,-1.1
3000,-0.00030799999999999995,-1.1
3000,-0.00030399999999999996,-1.1
3000,-0.0003,-1.1
3000,-0.000296,-1.1
3000,-0.00029199999999999994,-1.1
3000,-0.00028799999999999995,-1.1
3000,-0.00028399999999999996,-1.1
3000,-0.00028,-1.1
3000,-0.000276,-1.1
3000,-0.00027199999999999994,-1.1
3000,-0.00026799999999999995,-1.1
3000,-0.00026399999999999997,-1.1
3000,-0.00026,-1.1
3000,-0.000256,-1.12
3000,-0.00025199999999999995,-1.1
3000,-0.00024799999999999996,-1.1
3000,-0.00024399999999999997,-1.1
3000,-0.00023999999999999998,-1.1
3000,-0.000236,-1.12
3000,-0.00023199999999999995,-1.12
3000,-0.00022799999999999996,-1.12
3000,-0.00022399999999999997,-1.08
3000,-0.00021999999999999998,-1.12
3000,-0.000216,-1.1
3000,-0.00021199999999999995,-1.1
3000,-0.00020799999999999996,-1.1
3000,-0.00020399999999999997,-1.1
3000,-0.00019999999999999998,-1.1
3000,-0.000196,-1.12
3000,-0.00019199999999999995,-1.12
3000,-0.00018799999999999996,-1.1
3000,-0.00018399999999999997,-1.1
3000,-0.00017999999999999998,-1.1
3000,-0.00017599999999999994,-1.1
3000,-0.00017199999999999995,-1.1
3000,-0.00016799999999999996,-1.1
3000,-0.00016399999999999997,-1.1
3000,-0.00015999999999999999,-1.12
3000,-0.00015599999999999994,-1.12
3000,-0.00015199999999999995,-1.1
3000,-0.00014799999999999997,-1.1
3000,-0.00014399999999999998,-1.12
3000,-0.00014,-1.1
3000,-0.00013599999999999994,-1.1
3000,-0.00013199999999999996,-1.1
3000,-0.00012799999999999997,-1.1
3000,-0.00012399999999999998,-1.1
3000,-0.00011999999999999999,-1.1
3000,-0.00011599999999999995,-1.1
3000,-0.00011199999999999996,-1.1
3000,-0.00010799999999999997,-1.1
3000,-0.00010399999999999998,-1.1
3000,-9.999999999999999e-05,-1.1
3000,-9.599999999999995e-05,-1.12
3000,-9.199999999999996e-05,-1.1
3000,-8.799999999999997e-05,-1.12
3000,-8.399999999999998e-05,-1.12
3000,-7.999999999999999e-05,-1.12
3000,-7.599999999999995e-05,-1.1
3000,-7.199999999999996e-05,-1.1
3000,-6.800000000000003e-05,-1.12
3000,-6.399999999999993e-05,-1.1
3000,-5.999999999999994e-05,-1.1
3000,-5.599999999999995e-05,-1.1
3000,-5.199999999999996e-05,-1.12
3000,-4.7999999999999974e-05,-1.1
3000,-4.3999999999999985e-05,-1.12
3000,-3.9999999999999996e-05,-1.1
3000,-3.600000000000001e-05,-1.1
3000,-3.200000000000002e-05,-1.1
3000,-2.799999999999992e-05,-1.12
3000,-2.3999999999999933e-05,-1.1
